Water Pump ID,Water Source Type,Water Quality,Distance to Nearest Town,Population Served,Installation Year,Funder,Payment Type,Water Pump Age,Pump Type,GPS Coordinates,Functioning Status
,,Contaminated,,24000.0,2010.0,,Pay per use,14.0,Solar Pump,"(-22.499783370456278, 21.162129290467227)",Not Functioning
WP722,,Clean,35.0,22000.0,,,Free,23.0,Motorized Pump,"(-18.106558880730255, 25.627761898283623)",Not Functioning
WP723,Lake,Contaminated,39.0,25000.0,2009.0,USAID,Pay per use,15.0,Motorized Pump,"(-22.930701681043665, 23.605479542207433)",Not Functioning
WP724,Well,Contaminated,,29000.0,,,Free,28.0,Solar Pump,"(-19.289339488811173, 24.206198217766207)",Not Functioning
,Well,Contaminated,45.0,23000.0,2011.0,UNICEF,,13.0,Solar Pump,"(-18.960600691231996, 27.791772787132267)",Not Functioning
WP726,Well,Contaminated,41.0,22000.0,1992.0,USAID,Free,32.0,Motorized Pump,"(-22.010391108348337, 19.594853832236886)",Not Functioning
WP727,Borehole,Contaminated,,,2001.0,Red Cross,Free,23.0,Solar Pump,,Not Functioning
WP728,Lake,Contaminated,50.0,25000.0,1997.0,USAID,,27.0,Solar Pump,,
WP729,Lake,Contaminated,58.0,24000.0,2019.0,UNICEF,Free,5.0,Motorized Pump,"(-19.53072331605908, 24.188371362772088)",Not Functioning
WP730,Well,Contaminated,39.0,29000.0,2015.0,Red Cross,Free,9.0,Solar Pump,"(-19.485296998250952, 26.865046797259346)",Not Functioning
WP731,,Contaminated,41.0,25000.0,,UNICEF,Free,34.0,Motorized Pump,"(-23.859132324748327, 21.030652729029377)",Not Functioning
WP732,Well,Clean,35.0,26000.0,1997.0,Oxfam,Free,,Solar Pump,"(-20.564927622932636, 25.278817422470393)",Not Functioning
WP733,Borehole,Clean,41.0,26000.0,2015.0,Red Cross,Free,9.0,Motorized Pump,"(-21.53811716241682, 24.409336709375662)",Not Functioning
WP734,Well,Clean,50.0,20000.0,2013.0,Red Cross,Free,11.0,Solar Pump,"(-19.839569480451686, 26.737767722142756)",Not Functioning
WP735,Well,Contaminated,31.0,26000.0,1995.0,Red Cross,Free,29.0,Motorized Pump,"(-19.92129440452113, 25.99310036270714)",Not Functioning
WP736,Borehole,Contaminated,51.0,21000.0,2009.0,Red Cross,Free,,Motorized Pump,"(-19.090295880202238, 25.04371263094566)",Not Functioning
WP737,Well,Contaminated,45.0,,1997.0,Red Cross,Free,27.0,Hand Pump,"(-18.627602370159114, 27.056791359314424)",Functioning
WP738,Lake,Contaminated,49.0,25000.0,2014.0,UNICEF,Free,10.0,,"(-22.393640187683864, 23.04970055158993)",Not Functioning
WP739,Lake,Clean,,22000.0,1994.0,Red Cross,,30.0,Motorized Pump,,Not Functioning
WP740,Well,Contaminated,,,2007.0,Red Cross,Free,17.0,Motorized Pump,,Functioning
WP741,Lake,Clean,40.0,27000.0,1990.0,Red Cross,Pay per use,34.0,Motorized Pump,"(-19.93607604393831, 25.168563729818814)",Not Functioning
WP742,Well,Contaminated,34.0,23000.0,2013.0,Red Cross,Free,11.0,Motorized Pump,"(-18.86396381362193, 26.739906094486663)",Not Functioning
WP743,Lake,Clean,42.0,,2009.0,Oxfam,Free,15.0,Hand Pump,"(-21.583105074327563, 26.33043769149805)",
WP744,Well,Contaminated,,24000.0,2006.0,Oxfam,Pay per use,,Solar Pump,"(-22.850462304718015, 21.74159162160413)",Not Functioning
WP745,Lake,Clean,46.0,,2002.0,,Free,22.0,Hand Pump,,Not Functioning
WP746,Well,Contaminated,45.0,24000.0,2017.0,Red Cross,Free,7.0,Motorized Pump,,Functioning
WP747,Lake,Contaminated,43.0,26000.0,2007.0,Red Cross,Pay per use,17.0,,"(-17.858327590929463, 26.437763122907736)",Not Functioning
WP748,Lake,Clean,44.0,27000.0,1998.0,USAID,Pay per use,26.0,Solar Pump,"(-21.77246574934195, 23.346388987656255)",Not Functioning
WP749,Borehole,,47.0,26000.0,2006.0,Red Cross,Free,18.0,Motorized Pump,"(-18.834929160376575, 27.623746220577136)",Functioning
WP750,Well,Contaminated,43.0,23000.0,,USAID,Free,5.0,Solar Pump,,Not Functioning
WP751,Well,Clean,,26000.0,2013.0,USAID,Free,11.0,,"(-21.46276903592818, 20.13349474074545)",
WP752,Lake,Contaminated,46.0,25000.0,2011.0,Oxfam,Free,13.0,Motorized Pump,"(-23.185048447223334, 26.56962640084598)",Not Functioning
WP753,Well,Contaminated,,25000.0,2017.0,,Free,7.0,,,Not Functioning
WP754,Well,Contaminated,49.0,28000.0,2013.0,,Free,,Solar Pump,"(-22.291832332986395, 22.28238211373406)",Not Functioning
WP755,,Contaminated,38.0,24000.0,1993.0,Red Cross,Free,,Solar Pump,"(-17.730781434453064, 27.842198680267536)",Not Functioning
WP756,Well,,39.0,18000.0,2019.0,Oxfam,,5.0,Motorized Pump,"(-18.904346056793003, 26.9796394861107)",Not Functioning
WP757,Well,Contaminated,54.0,26000.0,2018.0,UNICEF,Free,6.0,Solar Pump,"(-17.540082842507015, 27.206100886587432)",Not Functioning
,,Contaminated,37.0,30000.0,1997.0,Red Cross,Free,27.0,Motorized Pump,"(-21.495213235696045, 21.171328125478198)",Functioning
WP759,Well,Contaminated,49.0,27000.0,1990.0,USAID,Free,34.0,Motorized Pump,"(-19.385543548076853, 26.612836676410765)",Functioning
WP760,Well,Contaminated,47.0,27000.0,2009.0,Oxfam,Free,,Solar Pump,"(-23.367656139814844, 19.543288037205368)",
WP761,Well,,38.0,28000.0,2020.0,,Pay per use,4.0,,"(-23.111764155224193, 21.12896717481254)",Not Functioning
WP762,Well,Contaminated,38.0,30000.0,1995.0,,Free,29.0,Motorized Pump,"(-21.095349602796283, 20.342060329121388)",Not Functioning
WP763,Lake,Clean,40.0,22000.0,2019.0,USAID,,5.0,Solar Pump,,Not Functioning
,Borehole,Clean,49.0,28000.0,1990.0,UNICEF,Free,34.0,Hand Pump,"(-21.106818263150608, 27.444550874287987)",Not Functioning
WP765,Well,Contaminated,43.0,23000.0,1998.0,UNICEF,,26.0,Motorized Pump,"(-18.870819549266866, 28.32048753100672)",Not Functioning
WP766,Lake,Clean,46.0,27000.0,2015.0,,Pay per use,9.0,,,Not Functioning
WP767,Well,Contaminated,45.0,23000.0,2013.0,USAID,Free,11.0,Motorized Pump,"(-23.170502928175992, 22.299137110504624)",
WP768,,,,27000.0,,USAID,Pay per use,28.0,Motorized Pump,"(-23.995611790698373, 20.386300803217473)",Functioning
,Lake,Contaminated,,24000.0,2019.0,USAID,Free,5.0,Hand Pump,,Not Functioning
WP770,Well,Contaminated,,23000.0,2002.0,Red Cross,Pay per use,22.0,Solar Pump,"(-23.459442300935834, 20.757010692871873)",Not Functioning
WP771,Well,Contaminated,40.0,21000.0,2000.0,Red Cross,Free,24.0,,"(-19.00602177364288, 26.614257120983478)",Not Functioning
,Well,Contaminated,31.0,26000.0,2016.0,USAID,Free,,Solar Pump,"(-19.26639901301134, 28.912609559323712)",Not Functioning
WP773,Well,Contaminated,42.0,24000.0,2019.0,Red Cross,Free,5.0,Motorized Pump,"(-18.43944919156047, 26.61560130172292)",Functioning
,Borehole,Contaminated,49.0,24000.0,2011.0,UNICEF,Pay per use,,,"(-23.838217453067433, 21.529927434653793)",Functioning
WP775,,Contaminated,45.0,21000.0,1999.0,Oxfam,Free,25.0,,"(-18.377338376019168, 26.109251404170955)",Functioning
WP776,Lake,Contaminated,43.0,25000.0,2012.0,USAID,Pay per use,12.0,Hand Pump,"(-18.59934025195634, 24.41500027079559)",Not Functioning
WP777,,Contaminated,30.0,22000.0,1996.0,Red Cross,Free,,Solar Pump,"(-22.50526892979375, 21.508830163497453)",Not Functioning
WP778,Well,Contaminated,30.0,23000.0,2000.0,Red Cross,Pay per use,24.0,Solar Pump,"(-18.43021760606899, 26.915152890034076)",Not Functioning
WP779,Well,Contaminated,38.0,28000.0,,UNICEF,,,Solar Pump,,Not Functioning
WP780,Lake,Contaminated,46.0,25000.0,2018.0,,,6.0,Motorized Pump,"(-21.27142038643825, 27.473262414256727)",Not Functioning
WP781,Well,Contaminated,35.0,25000.0,2007.0,,Free,17.0,Motorized Pump,"(-19.426787809447376, 24.220139536510988)",Not Functioning
,,,45.0,27000.0,,Red Cross,Pay per use,13.0,Motorized Pump,,Not Functioning
WP783,,,50.0,25000.0,2008.0,USAID,Pay per use,16.0,,"(-18.592016220494674, 26.066981075116686)",
WP784,,Contaminated,39.0,25000.0,2005.0,USAID,Pay per use,19.0,Motorized Pump,"(-20.96829894123052, 26.209574946495472)",Functioning
,Lake,Contaminated,46.0,25000.0,2020.0,,Pay per use,4.0,Solar Pump,"(-19.24770990842257, 24.00033361094655)",Not Functioning
WP786,,Contaminated,49.0,26000.0,2008.0,USAID,Pay per use,,Motorized Pump,"(-18.482351194481, 25.190725658467844)",Not Functioning
WP787,Well,,39.0,20000.0,2005.0,Red Cross,Pay per use,19.0,Motorized Pump,,Not Functioning
,,Contaminated,40.0,,2003.0,UNICEF,Pay per use,,Motorized Pump,"(-18.97555850298334, 28.19245842369187)",Not Functioning
WP789,Lake,Contaminated,46.0,,2013.0,USAID,Free,11.0,Motorized Pump,,Not Functioning
WP790,Well,Contaminated,42.0,21000.0,1992.0,,Free,32.0,Motorized Pump,"(-22.3718216610706, 22.461897448606486)",Functioning
WP791,Well,Contaminated,50.0,21000.0,2016.0,USAID,Pay per use,,Motorized Pump,,Functioning
WP792,Borehole,Contaminated,42.0,26000.0,,USAID,Free,20.0,Motorized Pump,"(-20.888725136963345, 26.49512230187424)",Functioning
WP793,Lake,Clean,,28000.0,1994.0,Red Cross,,,Solar Pump,"(-21.795354914029538, 27.222580454217244)",Not Functioning
,Well,Clean,37.0,,1999.0,USAID,Free,,Solar Pump,"(-19.970408135778108, 24.13971616751768)",Functioning
WP795,,,41.0,22000.0,1996.0,USAID,Pay per use,28.0,,"(-20.890159018432062, 27.686289274958135)",Functioning
WP796,Well,Clean,37.0,,2007.0,Red Cross,Free,17.0,Motorized Pump,"(-18.561352294321427, 26.472156957845673)",Not Functioning
WP797,,Contaminated,49.0,19000.0,,USAID,Free,15.0,Motorized Pump,"(-18.999314609318784, 24.884426060762458)",Not Functioning
,Well,Contaminated,52.0,21000.0,2004.0,USAID,Pay per use,,Solar Pump,"(-21.57334492752672, 20.109690951168712)",Not Functioning
WP799,Well,Contaminated,47.0,27000.0,2007.0,Red Cross,Free,17.0,Solar Pump,"(-18.66436937828074, 27.404506744660264)",Not Functioning
WP800,Well,,37.0,22000.0,2012.0,Oxfam,Free,12.0,Hand Pump,"(-21.767227321176964, 21.89489931349353)",Not Functioning
WP801,Well,Clean,43.0,18000.0,1991.0,UNICEF,Free,33.0,Motorized Pump,"(-19.850849000540695, 28.490033763111498)",Not Functioning
WP802,Well,Contaminated,47.0,21000.0,2000.0,UNICEF,Free,,Hand Pump,"(-18.44774432958837, 26.426708242119858)",Not Functioning
,Well,Contaminated,31.0,25000.0,,UNICEF,Free,20.0,Solar Pump,"(-18.637470443167633, 28.577442928165162)",Not Functioning
WP804,Well,Contaminated,33.0,21000.0,2015.0,Red Cross,Pay per use,9.0,Motorized Pump,"(-21.427978084045865, 26.63358244744123)",Not Functioning
WP805,Well,Contaminated,48.0,19000.0,1999.0,USAID,Free,25.0,Motorized Pump,"(-19.523123772226597, 27.023997233949803)",Functioning
WP806,Well,Contaminated,43.0,25000.0,2009.0,Red Cross,Free,15.0,,"(-23.712283792896198, 21.62179581488636)",Not Functioning
,Lake,,43.0,17000.0,2018.0,Red Cross,,6.0,,,Not Functioning
WP808,Well,Contaminated,38.0,24000.0,2005.0,USAID,Free,19.0,Motorized Pump,"(-21.133022432582234, 24.702644891294938)",Functioning
WP809,Well,Contaminated,43.0,,1992.0,UNICEF,Pay per use,32.0,Solar Pump,"(-22.518204940734467, 25.48926543071675)",Not Functioning
,River,,36.0,17000.0,2002.0,USAID,Free,,Motorized Pump,"(-21.30446540703759, 27.510239632414642)",Functioning
WP811,,Contaminated,,25000.0,2015.0,UNICEF,Free,9.0,Motorized Pump,"(-20.545039930596847, 25.81107683066123)",Functioning
WP812,Lake,Contaminated,30.0,20000.0,2001.0,Red Cross,Free,23.0,Solar Pump,"(-19.233179897219735, 22.687935467440408)",Not Functioning
,Borehole,Contaminated,52.0,24000.0,2006.0,USAID,Free,18.0,Hand Pump,,Functioning
WP814,Well,Clean,,26000.0,2013.0,Red Cross,Free,11.0,Motorized Pump,"(-21.400952728184535, 25.791763089747263)",Not Functioning
WP815,Borehole,Contaminated,,19000.0,1995.0,Oxfam,Free,29.0,Motorized Pump,,
WP816,Well,Contaminated,30.0,26000.0,,Red Cross,,23.0,Motorized Pump,"(-22.7067191095807, 21.974739698635773)",Not Functioning
WP817,,Contaminated,,,2006.0,UNICEF,Pay per use,18.0,Motorized Pump,"(-20.603194492980464, 22.323413121626107)",Not Functioning
WP818,Well,Contaminated,48.0,27000.0,2007.0,UNICEF,Pay per use,17.0,Solar Pump,"(-22.430514070491466, 23.642875383312738)",Not Functioning
,Well,Clean,46.0,23000.0,1995.0,Oxfam,Pay per use,29.0,,"(-23.67894021432007, 23.651309057935176)",Not Functioning
WP820,,Clean,,20000.0,2000.0,USAID,Free,24.0,Motorized Pump,,Functioning
,Well,Clean,54.0,22000.0,2016.0,UNICEF,Pay per use,8.0,Hand Pump,"(-19.922823411876006, 25.570107433379427)",Not Functioning
WP822,Well,Contaminated,49.0,23000.0,2014.0,Oxfam,Free,,Motorized Pump,"(-20.766682443829577, 24.50824345463729)",Functioning
WP823,Lake,Contaminated,34.0,,,,Pay per use,,Hand Pump,"(-23.46512236322679, 20.590026415384813)",Not Functioning
WP824,Well,,49.0,26000.0,1997.0,UNICEF,Free,27.0,Motorized Pump,,Functioning
WP825,Lake,Contaminated,36.0,,,USAID,Pay per use,20.0,Motorized Pump,"(-23.095516197853943, 22.037803413660697)",
,Well,Contaminated,44.0,25000.0,2004.0,Red Cross,Free,20.0,Motorized Pump,"(-21.161643032630472, 23.06975928808227)",Not Functioning
WP827,Well,Clean,37.0,23000.0,,Red Cross,Free,12.0,Motorized Pump,"(-22.283997391374072, 21.228933924100193)",Not Functioning
WP828,Well,Contaminated,45.0,22000.0,2004.0,Red Cross,Pay per use,20.0,,"(-22.984776010345705, 22.274277583307562)",Functioning
WP829,Lake,Clean,38.0,25000.0,1996.0,Red Cross,Free,28.0,Motorized Pump,"(-21.985627168994693, 26.056865916465032)",Not Functioning
WP830,Well,Clean,40.0,21000.0,2004.0,USAID,Free,20.0,,"(-19.53561657035545, 26.348043355623425)",Not Functioning
,Well,Contaminated,37.0,26000.0,,,Pay per use,5.0,,"(-22.575420303981886, 22.934035477444276)",Not Functioning
WP832,Lake,Clean,,21000.0,1993.0,Red Cross,Free,31.0,Motorized Pump,"(-23.08488053909412, 21.888352475442858)",Not Functioning
WP833,River,,,26000.0,,Red Cross,Free,26.0,Motorized Pump,"(-21.451580723168554, 24.949098492528307)",Not Functioning
WP834,Lake,Contaminated,33.0,23000.0,2001.0,USAID,Pay per use,23.0,Hand Pump,"(-23.84263570800622, 25.324872292578103)",Not Functioning
WP835,Well,Contaminated,32.0,25000.0,1990.0,Red Cross,Free,34.0,Motorized Pump,"(-23.29135962100024, 19.075900083992455)",Functioning
,Lake,Contaminated,38.0,25000.0,1992.0,,Pay per use,32.0,Motorized Pump,"(-18.969965710193815, 26.62662148074039)",Not Functioning
WP837,,Clean,,23000.0,1994.0,UNICEF,Pay per use,30.0,Motorized Pump,"(-20.723642534052264, 24.420177934974024)",Functioning
WP838,River,Contaminated,,25000.0,,USAID,Free,23.0,,,Functioning
,Borehole,Contaminated,50.0,23000.0,2015.0,Red Cross,Pay per use,9.0,Solar Pump,"(-20.622255343481903, 22.83392997009295)",Not Functioning
WP840,Well,,35.0,24000.0,1996.0,Oxfam,Free,28.0,,"(-18.758422795524773, 25.84950222592722)",Not Functioning
WP841,Well,Contaminated,,22000.0,2008.0,USAID,Pay per use,,Solar Pump,"(-20.822903737560942, 23.63177075593395)",Not Functioning
WP842,Well,Contaminated,,29000.0,2015.0,Red Cross,Free,9.0,Motorized Pump,"(-18.32731781863607, 26.92119566278213)",Not Functioning
WP843,Well,Contaminated,49.0,24000.0,1990.0,USAID,,34.0,Solar Pump,"(-18.72847448615516, 27.609880203131677)",Not Functioning
WP844,Borehole,Clean,38.0,21000.0,1998.0,USAID,,26.0,Motorized Pump,"(-23.089453428386005, 21.660191969800003)",Not Functioning
WP845,Well,Contaminated,,23000.0,,Red Cross,Pay per use,27.0,Motorized Pump,"(-20.657642263528505, 25.30680248221033)",Functioning
WP846,,Contaminated,45.0,29000.0,2001.0,Red Cross,,23.0,Solar Pump,"(-22.81184518164888, 22.519671779550066)",Not Functioning
,River,Contaminated,43.0,31000.0,1996.0,Red Cross,,28.0,Motorized Pump,"(-21.08359591856451, 27.381669527637925)",Not Functioning
WP848,River,Contaminated,42.0,26000.0,2003.0,Red Cross,Pay per use,21.0,Solar Pump,,Not Functioning
WP849,Lake,Contaminated,49.0,24000.0,,USAID,Free,29.0,Solar Pump,"(-23.03633075699363, 22.078324625845458)",Not Functioning
WP850,Well,Contaminated,,30000.0,2005.0,UNICEF,Pay per use,19.0,Solar Pump,"(-21.657496383504668, 24.8294918741958)",Not Functioning
,Borehole,Clean,30.0,,1997.0,Red Cross,Pay per use,27.0,,"(-21.402755678665148, 23.15529467079389)",Not Functioning
WP852,Well,,46.0,23000.0,,UNICEF,Pay per use,6.0,,,Not Functioning
WP853,River,,43.0,24000.0,2012.0,,Free,,Motorized Pump,"(-19.310408120497513, 25.837356386508553)",Not Functioning
WP854,Well,,55.0,22000.0,1998.0,,Free,,Solar Pump,"(-20.50209053915123, 21.018038118682593)",
WP855,Borehole,Contaminated,41.0,30000.0,1995.0,UNICEF,Pay per use,29.0,,"(-20.75859569860798, 26.08722087075012)",Functioning
,River,Contaminated,42.0,18000.0,1996.0,Oxfam,Pay per use,28.0,Solar Pump,"(-21.218422610743374, 22.398636973613417)",Not Functioning
WP857,Well,Contaminated,43.0,27000.0,1990.0,World Bank,Free,34.0,Motorized Pump,"(-22.825445139791583, 21.470966785064995)",Functioning
WP858,Well,Contaminated,45.0,21000.0,1995.0,USAID,,29.0,Motorized Pump,"(-23.07008971214529, 25.707535258000718)",Functioning
WP859,Lake,Contaminated,,21000.0,1994.0,Red Cross,Free,,Motorized Pump,,Not Functioning
WP860,Well,Clean,39.0,22000.0,2007.0,World Bank,Free,,Solar Pump,"(-18.135556881276134, 19.714039387993292)",Not Functioning
WP861,,Contaminated,34.0,26000.0,2013.0,Red Cross,Free,11.0,,"(-19.006313419788853, 25.624352544230725)",Not Functioning
WP862,Well,Contaminated,54.0,25000.0,,USAID,Free,5.0,,"(-18.32908814406777, 26.80585718146423)",Not Functioning
WP863,Well,Contaminated,42.0,28000.0,2010.0,Oxfam,Pay per use,14.0,Motorized Pump,"(-23.188740850507543, 23.56660181173663)",Not Functioning
WP864,Borehole,Contaminated,41.0,18000.0,2000.0,USAID,Free,24.0,Solar Pump,"(-18.848349765221947, 27.45267905265711)",Not Functioning
,,Clean,,26000.0,2011.0,Red Cross,Free,13.0,Solar Pump,"(-23.17195540023291, 28.175560519107997)",Not Functioning
WP866,Lake,,41.0,,1996.0,Red Cross,Pay per use,28.0,,"(-18.516870783131083, 20.96203504484185)",Not Functioning
WP867,Well,Contaminated,35.0,26000.0,2007.0,Red Cross,Pay per use,17.0,Solar Pump,"(-17.70025796571458, 27.245012429349153)",Not Functioning
WP868,Well,Clean,,23000.0,1994.0,,,30.0,Motorized Pump,"(-19.262065068894266, 25.05592089866079)",Not Functioning
WP869,,Clean,36.0,23000.0,2020.0,USAID,Free,4.0,Hand Pump,"(-19.023285621909533, 26.19557642821946)",Not Functioning
WP870,Well,Contaminated,38.0,24000.0,,USAID,,11.0,Solar Pump,"(-23.985064527451232, 25.364836504426705)",Not Functioning
,Lake,Clean,,29000.0,2003.0,Red Cross,Free,,,"(-22.576798484137914, 22.575624004884524)",Not Functioning
WP872,Well,Contaminated,49.0,22000.0,2014.0,,,10.0,,"(-18.3999672884542, 24.28853760844763)",Not Functioning
WP873,,Contaminated,42.0,,,Red Cross,Pay per use,30.0,Motorized Pump,,Functioning
WP874,Well,Clean,47.0,27000.0,1998.0,USAID,Free,26.0,Motorized Pump,"(-22.28822487693388, 20.363588083033058)",Not Functioning
WP875,,Contaminated,44.0,26000.0,,,,7.0,,"(-19.738532080807044, 22.435238587933636)",Not Functioning
WP876,Lake,Contaminated,42.0,25000.0,,Red Cross,Free,26.0,Hand Pump,,Not Functioning
,,Contaminated,47.0,25000.0,,Red Cross,Free,8.0,Motorized Pump,"(-17.938498573757897, 26.56785658896687)",Not Functioning
,,Clean,48.0,24000.0,1997.0,USAID,Free,,Motorized Pump,"(-20.286955694626677, 24.551889742834245)",Functioning
WP879,Well,Contaminated,34.0,22000.0,1995.0,UNICEF,Free,29.0,Motorized Pump,"(-19.82644562623408, 20.173135600547653)",Not Functioning
WP880,,Contaminated,34.0,27000.0,2005.0,,Pay per use,19.0,,"(-18.669817729699353, 21.025156442273573)",Not Functioning
,,Contaminated,31.0,25000.0,2012.0,Red Cross,Pay per use,12.0,Solar Pump,"(-19.890143084831653, 24.958290604092763)",Not Functioning
WP882,Lake,Clean,40.0,25000.0,2014.0,Red Cross,Free,10.0,Motorized Pump,"(-21.838543655778818, 22.731098420022487)",Not Functioning
WP883,Well,Clean,45.0,27000.0,2017.0,Oxfam,Pay per use,7.0,,"(-19.91033883605139, 21.806910163929388)",Not Functioning
WP884,Well,,48.0,,1993.0,Red Cross,,31.0,Solar Pump,"(-20.87612892689119, 24.19087844850506)",Not Functioning
WP885,,,51.0,27000.0,2005.0,USAID,Free,19.0,Motorized Pump,"(-23.22706448154087, 21.931971246365244)",Not Functioning
WP886,Well,Clean,41.0,20000.0,2018.0,,Free,6.0,Motorized Pump,"(-21.932562556708092, 24.692796388214546)",Not Functioning
WP887,Well,,47.0,26000.0,2015.0,World Bank,Pay per use,,Motorized Pump,"(-20.20908721912191, 27.439207509240518)",Not Functioning
WP888,Well,Contaminated,41.0,30000.0,1992.0,UNICEF,Free,32.0,Motorized Pump,"(-18.423811783827702, 26.355792557628646)",Not Functioning
WP889,Well,,40.0,20000.0,1990.0,Oxfam,Pay per use,34.0,Solar Pump,"(-18.91752537302429, 26.002984775778547)",Not Functioning
WP890,,Contaminated,41.0,17000.0,2019.0,Red Cross,Free,5.0,Solar Pump,"(-20.55891231940968, 25.34475988254764)",Not Functioning
WP891,,Contaminated,41.0,25000.0,1990.0,Red Cross,Free,34.0,Solar Pump,"(-22.65036394861624, 19.92523083129613)",Not Functioning
WP892,,Clean,,25000.0,2000.0,USAID,Free,24.0,Solar Pump,"(-19.671681687770818, 19.831711641282837)",Not Functioning
WP893,Well,Clean,40.0,23000.0,2008.0,USAID,,16.0,Motorized Pump,"(-21.733879281835133, 21.544879315979088)",Not Functioning
WP894,Lake,Contaminated,34.0,24000.0,2003.0,USAID,Pay per use,21.0,Motorized Pump,"(-21.79675952353716, 26.052153651936493)",Not Functioning
WP895,River,Clean,41.0,26000.0,,USAID,Free,22.0,Solar Pump,,Not Functioning
WP896,Well,Contaminated,53.0,25000.0,1990.0,USAID,,34.0,Motorized Pump,"(-18.699865386664392, 25.92689775682039)",Not Functioning
WP897,Well,Contaminated,26.0,22000.0,1991.0,USAID,,33.0,Motorized Pump,"(-18.17303393227806, 21.912134129360773)",Not Functioning
WP898,Borehole,Clean,41.0,22000.0,1991.0,Red Cross,Pay per use,,Motorized Pump,"(-20.359120396415875, 24.443447795114214)",Not Functioning
WP899,Well,Contaminated,,27000.0,1993.0,,Free,,Solar Pump,"(-22.964063071397053, 22.028251103551362)",Not Functioning
,,Contaminated,45.0,26000.0,2018.0,USAID,Pay per use,,Motorized Pump,"(-19.35847047158665, 26.37323290398141)",Functioning
WP901,Well,Contaminated,38.0,,2020.0,,Pay per use,,Motorized Pump,"(-20.339970493777543, 26.713348886185187)",Functioning
WP902,,Contaminated,48.0,25000.0,1997.0,Red Cross,Free,27.0,Motorized Pump,"(-18.023047529354116, 28.20171153800643)",Functioning
WP903,Well,Clean,44.0,24000.0,2020.0,Red Cross,,,Motorized Pump,"(-19.021202309481126, 24.22493370359601)",Functioning
WP904,Well,Contaminated,39.0,30000.0,2016.0,Red Cross,,8.0,Motorized Pump,"(-23.88150724775457, 22.063850239984525)",Not Functioning
WP905,,Contaminated,45.0,29000.0,2009.0,USAID,Free,15.0,,"(-23.662327098615204, 23.449687976061494)",Not Functioning
WP906,Well,Contaminated,47.0,22000.0,2019.0,Red Cross,Free,5.0,Solar Pump,"(-21.770566786764125, 20.736767843805445)",Not Functioning
WP907,Well,Contaminated,38.0,22000.0,1994.0,USAID,Free,30.0,Motorized Pump,"(-22.933298668957995, 21.161079459900403)",
WP908,Lake,Contaminated,41.0,,2012.0,USAID,Free,12.0,Solar Pump,"(-22.92232950109788, 22.364615523749265)",Not Functioning
WP909,Lake,,40.0,22000.0,,USAID,Free,23.0,Motorized Pump,"(-18.791805023564336, 24.20943924049506)",Not Functioning
WP910,Well,Contaminated,36.0,25000.0,2019.0,Red Cross,Free,5.0,Motorized Pump,"(-22.747564656308064, 25.104378796482127)",Not Functioning
WP911,,Contaminated,43.0,20000.0,2002.0,Red Cross,Free,22.0,Solar Pump,,Functioning
WP912,Lake,Contaminated,39.0,21000.0,2007.0,UNICEF,Free,17.0,Solar Pump,"(-19.93537396717177, 26.064276107618273)",Not Functioning
,Lake,Contaminated,31.0,21000.0,1998.0,Red Cross,Pay per use,26.0,Motorized Pump,"(-22.47021087148059, 23.184248137207007)",Functioning
WP914,Well,Contaminated,,26000.0,2011.0,Red Cross,Free,13.0,,"(-21.740516038786808, 21.57531860522509)",Functioning
WP915,Well,Contaminated,44.0,,2020.0,,Free,4.0,Solar Pump,"(-19.334052904885652, 28.886378237079853)",Not Functioning
WP916,Well,Contaminated,43.0,30000.0,1998.0,USAID,,26.0,Motorized Pump,"(-21.743416650372353, 26.882561765103794)",Functioning
WP917,,Contaminated,,20000.0,2008.0,USAID,,,,"(-19.6004061626833, 26.098946584426685)",Functioning
WP918,Well,Contaminated,38.0,23000.0,2002.0,Red Cross,Free,22.0,Hand Pump,"(-23.793341962400515, 23.72157590676118)",Not Functioning
,,,,31000.0,1990.0,,Free,34.0,Motorized Pump,"(-18.725723866310027, 26.846464714173216)",Not Functioning
WP920,Well,Clean,33.0,20000.0,2008.0,Oxfam,Free,16.0,Hand Pump,"(-18.28344395231112, 28.90111021007156)",Not Functioning
WP921,,Contaminated,33.0,23000.0,2020.0,Red Cross,,4.0,Motorized Pump,,Not Functioning
WP922,Well,Clean,37.0,28000.0,1990.0,,Free,34.0,Motorized Pump,"(-21.67771485652585, 21.429940657432383)",Not Functioning
WP923,Well,Contaminated,44.0,23000.0,2017.0,UNICEF,Free,7.0,Solar Pump,,
WP924,Borehole,Contaminated,43.0,26000.0,2014.0,Red Cross,Free,10.0,Motorized Pump,"(-19.84038261176846, 25.86149544531085)",Functioning
WP925,Well,,41.0,24000.0,2018.0,,Pay per use,6.0,Motorized Pump,"(-18.54445402622383, 24.209672189621166)",
WP926,Lake,Contaminated,34.0,28000.0,1998.0,Red Cross,Pay per use,,Motorized Pump,"(-22.355344574707235, 23.06665471914664)",Not Functioning
,,Clean,40.0,19000.0,1990.0,USAID,Pay per use,34.0,,"(-23.035832795622245, 23.654681826365962)",Not Functioning
WP928,Lake,Contaminated,51.0,19000.0,2001.0,USAID,Pay per use,23.0,Motorized Pump,"(-20.965497919513336, 22.32686776361209)",Not Functioning
